num,Country,colony,Lat,Lon,Year,Size,GPS_n_birds,GPS_n_trips,Dur,Dur_err,Dur_err_type,Maxdist,Maxdist_err,Maxdist_err_type,Totaldist,Totaldist_err,Totaldist_err_type,GPS_freq_mins,GPS_years,GPS_year
12,England,Bempton,54.15,-0.17,2012,11061,12,1272,8.64,NA,NA,43.22,NA,NA,126.54,NA,NA,~1,"2010-12,15",2010
12,England,Bempton,54.15,-0.17,2012,11061,4,574,8.16,NA,NA,37.22,NA,NA,119.62,NA,NA,~1,"2010-12,16",2011
12,England,Bempton,54.15,-0.17,2012,11061,9,945,8.88,NA,NA,46.22,NA,NA,133.27,NA,NA,~1,"2010-12,17",2012
12,England,Bempton,54.15,-0.17,2017,13392,10,191,16.74049,1.312292,SE,85.15965,3.737153,SE,218.0503,11.02845,SE,5,"2010-12,18",2018
13,Germany,Heligoland,54.18,7.92,2014,656,3,168,7.9,8,SD,42,45.7,SD,124.6,138.6,SD,Not stated,2014,2014
14,Scotland,Ailsa Craig,55.25,-5.12,2014,33226,16,111,26.21258759,16.15430621,SD,152.2972703,70.49589555,SD,485.9557387,264.8212936,SD,2,2011,2011
15,Scotland,Bass Rock,56.07672,-2.64139,2004,48065,14,70,31.5,13,SD,224.3,96.8,SD,588.2,245.5,SD,30,1998&2002-3,1998
15,Scotland,Bass Rock,56.07672,-2.64139,2004,48065,13,42,40,17.6,SD,319.7,132.9,SD,786,344.3,SD,30,1998&2002-3,2002
15,Scotland,Bass Rock,56.07672,-2.64139,2004,48065,21,58,25.9,9.6,SD,170.5,94.2,SD,417.6,231.3,SD,30,1998&2002-3,2003
15,Scotland,Bass Rock,56.07672,-2.64139,2009,60953,41,138,23.5412,11.46253,SD,198.9982,94.47178,SD,NA,NA,SD,2,2010-12,2010
15,Scotland,Bass Rock,56.07672,-2.64139,2009,60953,28,124,27.76669355,15.80835231,SD,158.3825806,69.11737719,SD,503.3846855,250.4270897,SD,2,2010-12,2011
15,Scotland,Bass Rock,56.07672,-2.64139,2014,75259,30,166,22.58842,13.36972,SD,186.9874,103.81112,SD,NA,NA,SD,2,2010-12,2012
15,Scotland,Bass Rock,56.07672,-2.64139,2014,75259,20,122,24.7,9.7,SD,226.6,102.4,SD,NA,NA,SD,2,2015-17,2015
15,Scotland,Bass Rock,56.07672,-2.64139,2014,75259,21,91,20.7,12.4,SD,185.5,106.4,SD,NA,NA,SD,2,2015-17,2016
15,Scotland,Bass Rock,56.07672,-2.64139,2014,75259,18,53,26,11.7,SD,211.6,117.8,SD,NA,NA,SD,2,2015-17,2017
16,Scotland,St Kilda,57.86,-8.48,2013,60290,21,254,24.31513,,SE/SD,164.1807,,SE/SD,459.7845,,SE/SD,75,2010,2010
17,Scotland,Sule Skerry,59.08,-4.4,2013,1870,2,14,14.35,1.57/5.87,SE/SD,72.89,5.30/19/81,SE/SD,246.68,24.75/92.62,SE/SD,2,2011,2011
18,Iceland,Vestmannaeyjar,63.36125,-20.366299,2013/14,15044,2,23,10.76,1.28,SE,51.03,4.81,SE,153.06,17.98,SE,"1,2","2016, 2017",2016
18,Iceland,Vestmannaeyjar,63.36125,-20.366299,2013/14,15044,7,13,9.29,2.63,SE,28.65,7.9,SE,116.28,32.74,SE,"1,2","2016, 2017",2017
19,Iceland,Skrúður,64.8999039,-13.631759,2014,6051,12,30,5.75,0.99,SE,33.76,5.07,SE,93.8,13.89,SE,1,"2016, 2017",2016
19,Iceland,Skrúður,64.8999039,-13.631759,2014,6051,15,41,4.12,0.57,SE,25.85,3.26,SE,75.13,66.76,SE,1,"2016, 2017",2017
20,Norway,Store Ulvøyhomen,68.85,14.85,2008,308,20,20,6.3,0.4,SE,18.8,1.1,SE,85.5,4.4,SE,10s,2008-09,2009
20,Norway,Store Ulvøyhomen,68.85,14.85,2008,308,23,23,7.4,0.9,SE,25.3,3.4,SE,114.8,13.6,SE,10s,2008-09,2008
21,Norway,Storstappen,71.23,25.5,2008,1244,14,14,6.6,0.4,SE,42.3,2.5,SE,154.6,9,SE,10s,2007-09,2009
21,Norway,Storstappen,71.23,25.5,2008,1244,23,23,8.4,1.2,SE,53.8,5.9,SE,190.6,27.9,SE,10s,2007-09,2008
21,Norway,Storstappen,71.23,25.5,2008,1244,21,21,4.5,0.6,SE,19.8,2.2,SE,89.1,9.4,SE,10s,2007-09,2007
